branch number, first bus number, second bus number
1241,6425,77157
1242,6427,6428
1243,6428,6436
1244,6430,6442
1245,6432,77157
1246,6436,6441
1247,6438,6457
1248,6438,6514
1249,6441,6450
1250,6442,6452
1251,6448,6450
1252,6448,6461
1253,6448,77157
1254,6452,6462
1255,6457,6465
1256,6461,6468
1257,6462,6463
1258,6465,6466
1259,6466,6468
1260,6467,6468
1261,6467,6544
1262,6486,6487
1263,6486,6490
1264,6487,6519
1265,6489,6491
1266,6489,6494
1267,6490,6491
1268,6494,6682
1269,6495,6498
1270,6495,6683
1271,6496,6498
1272,6496,6688
1273,6498,6499
1274,6498,6501
1275,6499,6500
1276,6500,6510
1277,6501,6502
1278,6502,6549
1279,6511,6512
1280,6512,6514
1281,6523,77157
1282,6525,6536
1283,77157,6526
1284,6526,77162
1285,6527,6533
1286,6531,6532
1287,6531,6537
1288,77157,6531
1289,6532,6533
1290,6533,6539
1291,77162,6537
1292,6539,6554
1293,6540,6543
1294,6543,6544
1295,6549,6550
1296,6558,6559
1297,6558,6560
1298,6558,8255
1299,6560,8264
1300,6575,7752
1301,6583,6584
1302,6583,6587
1303,6583,6598
1304,6584,6585
1305,6585,6586
1306,6586,6627
1307,6587,6625
1308,6591,6658
1309,76552,6591
1310,6595,6615
1311,76467,6598
1312,76518,6598
1313,6604,6608
1314,6604,6625
1315,6608,8121
1316,6613,6658
1317,6613,8122
1318,6615,6616
1319,6616,8133
1320,6621,6642
1321,6627,6628
1322,6628,6630
1323,76518,6628
1324,6630,6631
1325,6631,6637
1326,76455,6637
1327,76455,6637
1328,6638,6722
1329,6638,6723
1330,6642,7549
1331,77179,6645
1332,6650,6652
1333,77179,6650
1334,6652,7585
1335,6665,6666
1336,6666,7760
1337,6673,6674
1338,6674,6675
1339,6674,6679
1340,76458,6674
1341,6676,6679
1342,6682,6683
1343,76493,6683
1344,6687,6688
1345,6687,6691
1346,6689,77196
1347,6690,6695
1348,6691,6696
1349,77196,6691
1350,6694,6698
1351,76456,6695
1352,76462,6695
1353,6696,6697
1354,77197,6696
1355,6697,77200
1356,6699,6701
1357,6699,6705
1358,6705,7739
1359,6717,6733
1360,6720,6726
1361,6721,6722
1362,6721,6725
1363,6723,8473
1364,6724,6725
1365,6724,8474
1366,6726,6729
1367,6727,6729
1368,6732,6734
1369,6732,8488
1370,6733,6734
1371,6735,6739
1372,6735,6871
1373,6737,6742
1374,6739,6746
1375,6741,6742
1376,6742,7164
1377,76488,6750
1378,6770,6772
1379,6770,6774
1380,6770,6775
1381,76488,6770
1382,6772,6787
1383,6774,6775
1384,6774,6866
1385,6775,6777
1386,6775,77236
1387,6777,6778
1388,6778,6781
1389,6779,6795
1390,6779,7265
1391,6781,6782
1392,6782,6827
1393,6784,6785
1394,6784,6800
1395,6785,6786
1396,6786,6787
1397,6794,6796
1398,6795,7259
1399,6796,6802
1400,6800,6802
1401,6800,6804
1402,76457,6800
1403,6800,77224
1404,6804,77224
1405,6805,7248
1406,6805,7259
1407,6806,6819
1408,6806,6819
1409,6806,8523
1410,6806,8523
1411,6806,8523
1412,76483,6806
1413,76491,6806
1414,76496,6806
1415,76490,6810
1416,76492,6810
1417,76497,6810
1418,6815,6823
1419,76457,6815
1420,76490,6815
1421,6817,6827
1422,76457,6817
1423,6819,6842
1424,6819,6842
1425,6821,6823
1426,6821,6836
1427,6823,6834
1428,6824,6841
1429,6825,6834
1430,6825,6960
1431,76457,6825
1432,76490,6825
1433,6834,6960
1434,6836,6839
1435,6839,6844
1436,6841,6897
1437,6842,6845
1438,6842,6845
1439,6844,77233
1440,6845,6860
1441,77032,6845
1442,77053,6845
1443,6847,6849
1444,77231,6847
1445,77233,6849
1446,6849,77236
1447,6860,6918
1448,6864,6914
1449,6864,6915
1450,6864,77254
1451,6866,6871
1452,6866,6929
1453,76488,6866
1454,6866,77254
1455,6871,6884
1456,6879,6880
1457,6879,6884
1458,6880,6905
1459,6890,6905
